w1  w2
90.92440936173901 -149.075590638261
102.87390408237253 -137.12609591762748
92.14951959959262 -147.85048040040738
86.94858260072895 -153.05141739927103
57.633079991905554 -182.36692000809444
76.78247882897632 -163.2175211710237
106.81121708596768 -133.18878291403232
94.17145094914348 -145.8285490508565
71.79386405822561 -168.2061359417744
85.14130842544955 -154.85869157455045
114.44748103489292 -125.55251896510708
117.31561238263794 -122.68438761736206
95.2249858024611 -144.7750141975389
73.48454970378225 -166.51545029621775
65.69050152558837 -174.3094984744116
66.48201050546005 -173.51798949453996
43.74729456858451 -196.2527054314155
-25.62987779006789 -265.6298777900679
-49.91979025391494 -289.9197902539149
-113.23726897581898 -353.237268975819
-218.94020768967818 -458.9402076896782
-262.6003513220253 -502.6003513220253
-268.37473435311546 -508.37473435311546
-162.85585196573444 -402.8558519657345
-92.01583965123427 -332.0158396512343
-48.41444124362579 -288.4144412436258
-21.363670738174275 -261.3636707381743
2.1291020263097384 -237.87089797369026
32.15615191493999 -207.84384808506002
34.63878572602062 -205.36121427397939
61.05462262894889 -178.9453773710511
70.22035969207262 -169.77964030792737
38.63456252529477 -201.36543747470523
-11.687552682498332 -251.68755268249834
-16.445285832966874 -256.4452858329669
35.446992623623366 -204.55300737637663
7.919969693183248 -232.08003030681675
35.319694520138455 -204.68030547986154
45.40283741288112 -194.59716258711887
61.98973993537173 -178.01026006462826
106.8462023136749 -133.1537976863251
36.81806654473485 -203.18193345526515
27.74754791880378 -212.25245208119622
69.26168716235134 -170.73831283764866
69.8982692832601 -170.1017307167399
71.5594884314037 -168.44051156859632
85.44294357953278 -154.55705642046723
103.43324896247852 -136.5667510375215
90.78991336534727 -149.21008663465273
75.30104063870931 -164.6989593612907
71.74476848947735 -168.25523151052266
57.76127394070226 -182.23872605929773
43.794194715432695 -196.2058052845673
12.380264788592285 -227.61973521140771
17.66995135877687 -222.33004864122313
65.13953953853434 -174.86046046146566
135.1051594469213 -104.8948405530787
125.35977291531982 -114.64022708468018
