total DFI time:0.01seconds
 frequency resolution:27.8111
frequency grid number:30
w1    w3     rephasing   non-rephasing  total:30
w1    w3     I_r I_nr I_total
-83.3260938  -278.0038464  2.185776331  0.7730017783  2.958778109  
-83.3260938  -250.1927389  2.886054869  1.047805302  3.933860171  
-83.3260938  -222.3816314  3.199150047  0.8673754927  4.06652554  
-83.3260938  -194.5705239  4.386967548  1.071778909  5.458746457  
-83.3260938  -166.7594163  7.58216947  2.179965847  9.762135317  
-83.3260938  -138.9483088  11.16168793  3.071996083  14.23368401  
-83.3260938  -111.1372013  18.24266104  2.486082766  20.7287438  
-83.3260938  -83.3260938  26.10938691  10.67970423  36.78909114  
-83.3260938  -55.51498629  31.83877031  11.16111983  42.99989013  
-83.3260938  -27.70387877  30.59747484  9.913551058  40.5110259  
-83.3260938  0.10722874  25.7072997  8.690117095  34.39741679  
-83.3260938  27.91833625  17.07148179  12.05395211  29.1254339  
-83.3260938  55.72944377  5.803231531  12.75413402  18.55736556  
-83.3260938  83.54055128  -2.565654695  11.44770785  8.882053156  
-83.3260938  111.3516588  -3.591242942  10.34118317  6.74994023  
-83.3260938  139.1627663  -3.209409564  8.219697375  5.010287811  
-83.3260938  166.9738738  -3.308981271  6.740456017  3.431474746  
-83.3260938  194.7849813  -2.065544492  6.028262417  3.962717924  
-83.3260938  222.5960889  -2.038322387  4.935808073  2.897485686  
-83.3260938  250.4071964  -1.690306342  4.349542079  2.659235737  
-55.51498629  -305.8149539  0.8369382738  2.11596678  2.952905054  
-55.51498629  -278.0038464  1.080004159  2.065829669  3.145833828  
-55.51498629  -250.1927389  1.409926752  2.165443165  3.575369916  
-55.51498629  -222.3816314  2.023323914  2.635303536  4.65862745  
-55.51498629  -194.5705239  2.140910565  3.151603593  5.292514158  
-55.51498629  -166.7594163  4.279150215  4.223268537  8.502418752  
-55.51498629  -138.9483088  7.404738149  6.264926753  13.6696649  
-55.51498629  -111.1372013  16.09279265  6.771666876  22.86445952  
-55.51498629  -83.3260938  22.61801136  10.15657068  32.77458203  
-55.51498629  -55.51498629  32.02598375  6.092556944  38.11854069  
-55.51498629  -27.70387877  35.26822383  10.4723704  45.74059423  
-55.51498629  0.10722874  30.51605012  8.572375102  39.08842522  
-55.51498629  27.91833625  24.43240064  12.43577855  36.86817919  
-55.51498629  55.72944377  12.36555356  14.50508915  26.8706427  
-55.51498629  83.54055128  -1.169600362  13.02081401  11.85121364  
-55.51498629  111.3516588  -4.651561068  10.66708191  6.015520844  
-55.51498629  139.1627663  -3.165922531  8.903059225  5.737136693  
-55.51498629  166.9738738  -1.368642566  7.283627748  5.914985182  
-55.51498629  194.7849813  -0.8698126672  6.156721063  5.286908396  
-55.51498629  222.5960889  -0.1812887705  5.263426054  5.082137284  
-55.51498629  250.4071964  -0.7224763554  4.621665021  3.899188666  
-27.70387877  -305.8149539  0.5520479413  2.804794387  3.356842328  
