total DFI time:0seconds
 frequency resolution:27.8111
frequency grid number:30
w1    w3     rephasing   non-rephasing  total:30
w1    w3     I_r I_nr I_total
-166.7594163  111.3516588  -0.7267047307  -0.8653990406  -1.592103771  
-166.7594163  139.1627663  -0.6595210698  -0.7212217734  -1.380742843  
-166.7594163  166.9738738  -0.9217465385  -0.620857017  -1.542603555  
-166.7594163  194.7849813  -1.09624824  -0.4255685001  -1.52181674  
-166.7594163  222.5960889  -1.263120545  -0.2952233329  -1.558343878  
-166.7594163  250.4071964  -1.539947463  -0.16333103  -1.703278493  
-138.9483088  -305.8149539  -9.603530466  -2.869901359  -12.47343182  
-138.9483088  -278.0038464  -7.523425848  -3.154792409  -10.67821826  
-138.9483088  -250.1927389  -5.944059333  -3.285796079  -9.229855411  
-138.9483088  -222.3816314  -1.737334378  -4.015031137  -5.752365515  
-138.9483088  -194.5705239  1.347306192  -4.532903421  -3.18559723  
-138.9483088  -166.7594163  4.68532501  -4.894687238  -0.2093622279  
-138.9483088  -138.9483088  3.406694755  -3.995608296  -0.5889135411  
-138.9483088  -111.1372013  2.668644795  -3.469619987  -0.8009751928  
-138.9483088  -83.3260938  2.150862339  -3.035698379  -0.8848360395  
-138.9483088  -55.51498629  1.039395255  -2.44580229  -1.406407035  
-138.9483088  -27.70387877  0.7726625073  -2.122699771  -1.350037264  
-138.9483088  0.10722874  0.4137696476  -1.900518068  -1.486748421  
-138.9483088  27.91833625  0.09383977741  -1.575978121  -1.482138343  
-138.9483088  55.72944377  -0.07560729219  -1.404612775  -1.480220067  
-138.9483088  83.54055128  -0.1970342754  -1.242981514  -1.440015789  
-138.9483088  111.3516588  -0.4715459673  -0.9857573304  -1.457303298  
-138.9483088  139.1627663  -0.5729148286  -0.8470215998  -1.419936428  
-138.9483088  166.9738738  -0.7358044473  -0.7136349623  -1.44943941  
-138.9483088  194.7849813  -0.9871254937  -0.4441911777  -1.431316671  
-138.9483088  222.5960889  -1.095526681  -0.3575601845  -1.453086865  
-138.9483088  250.4071964  -1.294666568  -0.1832151966  -1.477881765  
