total DFI time:0.000366seconds
 frequency resolution:41.7167
frequency grid number:20
w1    w3     rephasing   non-rephasing  total:20
w1    w3     I_r I_nr I_total
-208.4760776  41.82389001  -2.832060349  4.255312472  1.423252124  
-208.4760776  83.54055128  -6.607300696  4.581403606  -2.02589709  
-208.4760776  125.2572126  -1.197321494  3.785685549  2.588364055  
-208.4760776  166.9738738  -2.772349349  2.963211581  0.1908622325  
-208.4760776  208.6905351  -1.626819138  2.479099956  0.852280818  
-208.4760776  250.4071964  -1.782098627  2.226801588  0.4447029607  
-166.7594163  -333.6260614  -5.198432486  -0.6918276246  -5.890260111  
-166.7594163  -291.9094002  -3.845482526  -2.332235582  -6.177718109  
-166.7594163  -250.1927389  2.420437002  -2.894567019  -0.4741300174  
-166.7594163  -208.4760776  8.622594548  -4.847835705  3.774758842  
-166.7594163  -166.7594163  15.60906649  -4.162862231  11.44620426  
-166.7594163  -125.0427551  22.67328524  -2.648994484  20.02429076  
-166.7594163  -83.3260938  17.8935521  -0.1394916784  17.75406042  
-166.7594163  -41.60943253  13.66634149  2.54444114  16.21078263  
-166.7594163  0.10722874  4.112398525  3.527335549  7.639734074  
-166.7594163  41.82389001  -4.14854982  5.751032316  1.602482496  
-166.7594163  83.54055128  -6.111447121  6.103716228  -0.00773089353  
-166.7594163  125.2572126  -5.865219368  5.023542056  -0.8416773122  
-166.7594163  166.9738738  -2.529921692  3.89605324  1.366131548  
-166.7594163  208.6905351  -2.318401191  3.207665134  0.8892639433  
-166.7594163  250.4071964  -1.629055589  2.823971516  1.194915927  
-125.0427551  -333.6260614  -10.2504602  -1.457562918  -11.70802312  
-125.0427551  -291.9094002  -10.55642346  -3.135516295  -13.69193975  
-125.0427551  -250.1927389  -3.995433031  -3.269761331  -7.265194362  
-125.0427551  -208.4760776  3.101888509  -5.05239785  -1.950509341  
-125.0427551  -166.7594163  12.33851022  -4.576143426  7.762366792  
-125.0427551  -125.0427551  22.138425  2.246720723  24.38514573  
-125.0427551  -83.3260938  29.38773198  1.204173941  30.59190592  
-125.0427551  -41.60943253  26.06897295  4.268057627  30.33703058  
-125.0427551  0.10722874  16.7425712  4.851525742  21.59409694  
-125.0427551  41.82389001  5.088858326  7.602223473  12.6910818  
-125.0427551  83.54055128  -6.532190397  7.850966562  1.318776165  
-125.0427551  125.2572126  -6.529438648  6.328864246  -0.2005744012  
-125.0427551  166.9738738  -4.232730446  4.789512557  0.5567821108  
-125.0427551  208.6905351  -3.538204969  3.833905762  0.2957007927  
-125.0427551  250.4071964  -2.488923963  3.268376713  0.7794527506  
-83.3260938  -333.6260614  -8.810088213  -1.64551376  -10.45560197  
-83.3260938  -291.9094002  -14.11661097  -4.229809778  -18.34642074  
-83.3260938  -250.1927389  -11.7669547  -2.985044676  -14.75199937  
-83.3260938  -208.4760776  -7.964799866  -4.82699763  -12.7917975  
-83.3260938  -166.7594163  5.482932544  -4.049099807  1.433832737  
-83.3260938  -125.0427551  15.43453233  -1.402283235  14.03224909  
-83.3260938  -83.3260938  24.31138466  6.962225492  31.27361015  
-83.3260938  -41.60943253  33.52505259  7.15554017  40.68059276  
-83.3260938  0.10722874  26.94837735  6.305793062  33.25417041  
-83.3260938  41.82389001  15.57967199  9.820243066  25.39991506  
-83.3260938  83.54055128  -0.6569357886  9.802549153  9.145613364  
-83.3260938  125.2572126  -2.531954078  7.646340809  5.114386731  
-83.3260938  166.9738738  -2.031451197  5.596130195  3.564678998  
-83.3260938  208.6905351  -1.360329812  4.345615309  2.985285498  
-83.3260938  250.4071964  -1.874128775  3.598490229  1.724361454  
-41.60943253  -333.6260614  -5.231562004  -2.072242285  -7.303804289  
-41.60943253  -291.9094002  -14.2128028  -2.86791518  -17.08071798  
-41.60943253  -250.1927389  -20.38493136  0.04765431626  -20.33727705  
-41.60943253  -208.4760776  -17.79346771  -3.480450019  -21.27391773  
-41.60943253  -166.7594163  -7.115448461  -2.430132227  -9.545580688  
-41.60943253  -125.0427551  5.422938331  1.231818519  6.65475685  
-41.60943253  -83.3260938  16.60986751  5.529068017  22.13893552  
-41.60943253  -41.60943253  36.07356222  10.0570187  46.13058092  
-41.60943253  0.10722874  44.05648323  4.87125245  48.92773568  
-41.60943253  41.82389001  32.77235747  11.31437631  44.08673378  
-41.60943253  83.54055128  11.47986072  11.08519086  22.56505158  
-41.60943253  125.2572126  -0.4802696224  8.171486858  7.691217235  
-41.60943253  166.9738738  -2.606515231  5.603218942  2.99670371  
-41.60943253  208.6905351  -1.687249787  4.125340854  2.438091067  
-41.60943253  250.4071964  -0.6658103672  3.276659387  2.61084902  
0.10722874  -333.6260614  -1.25962858  -1.020785084  -2.280413663  
0.10722874  -291.9094002  -6.104428003  -0.8476890458  -6.952117048  
0.10722874  -250.1927389  -16.9116788  -5.057996957  -21.96967575  
0.10722874  -208.4760776  -24.89703134  -7.330879216  -32.22791055  
